time,gyrx,gyry,gyrz,rol,pit,yaw,accx,accy,accz,vCmds
0.256,0.300,-0.672,-0.020,-0.029,8519263744.000,-0.003,0.014,0.010,0.063,2.000,
0.258,0.188,-0.593,-0.013,-0.029,8519263744.000,-0.003,0.017,0.010,0.068,2.000,
0.260,0.078,-0.507,-0.007,-0.028,8519263744.000,-0.003,0.021,0.010,0.070,2.000,
0.264,-0.027,-0.415,-0.003,-0.028,8519263744.000,-0.003,0.026,0.009,0.070,2.000,
0.266,-0.157,-0.276,-0.008,-0.028,8519263744.000,-0.003,0.035,0.011,0.068,2.000,
0.268,-0.277,-0.124,-0.023,-0.028,8519263744.000,-0.003,0.043,0.013,0.063,2.000,
0.270,-0.367,0.018,-0.046,-0.029,8519263744.000,-0.003,0.048,0.014,0.058,2.000,
0.272,-0.425,0.145,-0.068,-0.030,8519263744.000,-0.004,0.051,0.015,0.053,2.000,
0.274,-0.456,0.258,-0.082,-0.031,8519263744.000,-0.004,0.052,0.014,0.052,2.000,
0.276,-0.468,0.365,-0.085,-0.031,8519263744.000,-0.004,0.052,0.013,0.053,2.000,
0.278,-0.467,0.469,-0.077,-0.032,8519263744.000,-0.004,0.051,0.011,0.055,2.000,
0.280,-0.460,0.566,-0.056,-0.033,8519263744.000,-0.004,0.049,0.011,0.057,2.000,
0.282,-0.449,0.654,-0.028,-0.034,8519263744.000,-0.004,0.046,0.011,0.059,2.000,
0.284,-0.435,0.724,0.003,-0.035,8519263744.000,-0.004,0.043,0.012,0.062,2.000,
0.286,-0.417,0.774,0.037,-0.036,8519263744.000,-0.004,0.038,0.012,0.067,2.000,
0.291,-0.393,0.803,0.075,-0.037,8519263744.000,-0.004,0.032,0.012,0.073,2.000,
0.293,-0.340,0.801,0.146,-0.038,8519263744.000,-0.004,0.020,0.008,0.084,2.000,
0.295,-0.270,0.765,0.224,-0.038,8519263744.000,-0.004,0.009,0.003,0.093,2.000,
0.297,-0.195,0.697,0.291,-0.039,8519263744.000,-0.003,0.002,-0.001,0.098,2.000,
0.299,-0.124,0.606,0.337,-0.039,8519263744.000,-0.003,0.001,-0.005,0.097,2.000,
0.301,-0.062,0.499,0.360,-0.039,8519263744.000,-0.002,0.006,-0.008,0.089,2.000,
0.303,-0.011,0.383,0.365,-0.040,8519263744.000,-0.001,0.014,-0.009,0.075,2.000,
0.305,0.033,0.266,0.362,-0.040,8519263744.000,-0.001,0.022,-0.010,0.058,2.000,
0.307,0.080,0.161,0.354,-0.040,8519263744.000,0.000,0.028,-0.010,0.039,2.000,
0.309,0.140,0.075,0.345,-0.039,8519263744.000,0.001,0.031,-0.010,0.021,2.000,
0.311,0.212,0.010,0.335,-0.039,8519263744.000,0.001,0.030,-0.009,0.006,2.000,
0.315,0.285,-0.034,0.325,-0.039,8519263744.000,0.002,0.028,-0.008,-0.006,2.000,
0.317,0.368,-0.077,0.311,-0.038,8519263744.000,0.003,0.024,-0.008,-0.016,2.000,
0.319,0.440,-0.113,0.299,-0.037,8519263744.000,0.003,0.018,-0.010,-0.026,2.000,
0.321,0.487,-0.144,0.287,-0.037,8519263744.000,0.004,0.014,-0.014,-0.034,2.000,
0.323,0.507,-0.173,0.274,-0.036,8519263744.000,0.005,0.012,-0.019,-0.041,2.000,
0.325,0.507,-0.202,0.255,-0.035,8519263744.000,0.005,0.012,-0.022,-0.047,2.000,
0.327,0.494,-0.229,0.235,-0.034,8519263744.000,0.006,0.013,-0.025,-0.051,2.000,
0.329,0.471,-0.245,0.213,-0.033,8519263744.000,0.006,0.013,-0.026,-0.052,2.000,
0.331,0.440,-0.252,0.190,-0.032,8519263744.000,0.007,0.014,-0.026,-0.051,2.000,
0.333,0.401,-0.254,0.168,-0.031,8519263744.000,0.007,0.014,-0.025,-0.049,2.000,
0.335,0.355,-0.259,0.152,-0.030,8519263744.000,0.007,0.014,-0.023,-0.046,2.000,
0.337,0.304,-0.271,0.147,-0.029,8519263744.000,0.008,0.016,-0.022,-0.043,2.000,
0.342,0.250,-0.294,0.149,-0.029,8519263744.000,0.008,0.018,-0.021,-0.042,2.000,
0.344,0.152,-0.348,0.146,-0.028,8519263744.000,0.008,0.023,-0.021,-0.046,2.000,
0.346,0.039,-0.404,0.137,-0.028,8519263744.000,0.008,0.027,-0.021,-0.051,2.000,
0.348,-0.073,-0.442,0.127,-0.028,8519263744.000,0.009,0.030,-0.020,-0.055,2.000,
0.350,-0.175,-0.459,0.118,-0.028,8519263744.000,0.009,0.032,-0.018,-0.056,2.000,
0.352,-0.265,-0.460,0.109,-0.028,8519263744.000,0.009,0.031,-0.016,-0.055,2.000,
0.354,-0.340,-0.454,0.102,-0.029,8519263744.000,0.009,0.031,-0.015,-0.052,2.000,
0.356,-0.401,-0.451,0.093,-0.029,8519263744.000,0.010,0.030,-0.015,-0.048,2.000,
0.358,-0.446,-0.460,0.084,-0.030,8519263744.000,0.010,0.029,-0.016,-0.045,2.000,
0.360,-0.475,-0.480,0.076,-0.031,8519263744.000,0.010,0.028,-0.016,-0.040,2.000,
0.362,-0.489,-0.505,0.070,-0.032,8519263744.000,0.010,0.028,-0.017,-0.034,2.000,
0.366,-0.490,-0.526,0.070,-0.033,8519263744.000,0.010,0.028,-0.017,-0.025,2.000,
0.368,-0.473,-0.539,0.079,-0.034,8519263744.000,0.010,0.028,-0.018,-0.010,2.000,
0.370,-0.440,-0.533,0.099,-0.035,8519263744.000,0.011,0.029,-0.020,0.006,2.000,
0.372,-0.398,-0.508,0.123,-0.036,8519263744.000,0.011,0.029,-0.022,0.018,2.000,
0.374,-0.350,-0.471,0.143,-0.037,8519263744.000,0.011,0.029,-0.024,0.028,2.000,
0.376,-0.300,-0.424,0.160,-0.037,8519263744.000,0.011,0.026,-0.028,0.035,2.000,
0.378,-0.246,-0.369,0.178,-0.038,8519263744.000,0.012,0.022,-0.031,0.042,2.000,
0.380,-0.188,-0.313,0.195,-0.038,8519263744.000,0.012,0.016,-0.034,0.050,2.000,
0.382,-0.126,-0.258,0.213,-0.039,8519263744.000,0.012,0.008,-0.036,0.058,2.000,
0.384,-0.054,-0.200,0.235,-0.039,8519263744.000,0.013,0.000,-0.036,0.069,2.000,
0.386,0.017,-0.152,0.258,-0.039,8519263744.000,0.013,-0.006,-0.034,0.080,2.000,
0.388,0.082,-0.118,0.278,-0.039,8519263744.000,0.014,-0.011,-0.033,0.088,2.000,
0.393,0.142,-0.099,0.291,-0.039,8519263744.000,0.014,-0.013,-0.031,0.093,2.000,
0.395,0.225,-0.084,0.292,-0.039,8519263744.000,0.015,-0.012,-0.029,0.091,2.000,
0.397,0.304,-0.072,0.283,-0.038,8519263744.000,0.015,-0.009,-0.026,0.084,2.000,
0.399,0.362,-0.057,0.272,-0.038,8519263744.000,0.016,-0.004,-0.023,0.074,2.000,
0.401,0.393,-0.032,0.261,-0.037,8519263744.000,0.017,0.003,-0.018,0.062,2.000,
0.403,0.405,0.008,0.250,-0.036,8519263744.000,0.017,0.010,-0.013,0.052,2.000,
