time,gyrx,gyry,gyrz,rol,pit,yaw,accx,accy,accz,vCmds
0.918,-0.563,2.955,-0.231,0.033,-0.059,0.050,0.053,0.010,0.091,0.000,
0.920,-0.536,3.021,-0.244,0.031,-0.053,0.049,0.054,0.017,0.094,0.000,
0.922,-0.512,3.112,-0.259,0.030,-0.047,0.049,0.057,0.023,0.093,0.000,
0.924,-0.491,3.231,-0.277,0.029,-0.041,0.048,0.060,0.030,0.089,2.000,
0.926,-0.470,3.379,-0.297,0.028,-0.035,0.048,0.061,0.037,0.082,0.000,
0.928,-0.450,3.552,-0.322,0.027,-0.028,0.047,0.061,0.044,0.075,0.000,
0.930,-0.431,3.748,-0.352,0.026,-0.021,0.046,0.061,0.049,0.067,0.000,
0.932,-0.418,3.963,-0.387,0.026,-0.013,0.046,0.062,0.053,0.060,0.000,
0.934,-0.411,4.188,-0.427,0.025,-0.005,0.045,0.061,0.054,0.054,0.000,
0.936,-0.414,4.414,-0.477,0.024,0.003,0.044,0.059,0.054,0.051,0.000,
0.938,-0.427,4.634,-0.535,0.023,0.012,0.043,0.058,0.054,0.047,0.000,
0.940,-0.447,4.841,-0.599,0.022,0.021,0.042,0.058,0.054,0.041,0.000,
0.942,-0.473,5.037,-0.668,0.021,0.031,0.041,0.060,0.052,0.038,0.000,
0.944,-0.501,5.222,-0.738,0.020,0.041,0.039,0.062,0.048,0.036,0.000,
0.946,-0.526,5.397,-0.804,0.019,0.051,0.038,0.065,0.044,0.033,0.000,
0.948,-0.544,5.559,-0.863,0.018,0.062,0.036,0.071,0.042,0.024,2.000,
0.950,-0.554,5.710,-0.916,0.017,0.073,0.035,0.079,0.041,0.013,0.000,
0.952,-0.560,5.852,-0.966,0.016,0.085,0.033,0.089,0.041,0.004,0.000,
0.954,-0.568,5.992,-1.009,0.015,0.096,0.031,0.100,0.042,-0.003,0.000,
0.956,-0.581,6.132,-1.040,0.014,0.108,0.029,0.109,0.044,-0.010,0.000,
0.958,-0.602,6.276,-1.056,0.013,0.121,0.027,0.118,0.047,-0.017,0.000,
0.960,-0.634,6.424,-1.062,0.012,0.133,0.025,0.127,0.047,-0.020,0.000,
0.962,-0.674,6.572,-1.064,0.010,0.146,0.023,0.136,0.046,-0.019,0.000,
0.964,-0.722,6.716,-1.068,0.009,0.159,0.020,0.143,0.044,-0.014,2.000,
0.966,-0.775,6.852,-1.074,0.007,0.173,0.018,0.148,0.040,-0.009,0.000,
0.968,-0.830,6.976,-1.077,0.006,0.186,0.016,0.151,0.036,-0.003,0.000,
0.970,-0.882,7.085,-1.068,0.004,0.200,0.014,0.156,0.030,0.003,0.000,
0.972,-0.930,7.183,-1.046,0.003,0.214,0.012,0.162,0.024,0.007,0.000,
0.974,-0.976,7.277,-1.012,0.001,0.229,0.010,0.170,0.018,0.007,0.000,
0.976,-1.022,7.373,-0.968,-0.001,0.243,0.008,0.178,0.012,0.005,2.000,
0.978,-1.066,7.475,-0.917,-0.003,0.258,0.006,0.187,0.009,0.002,0.000,
0.980,-1.106,7.588,-0.863,-0.005,0.273,0.004,0.191,0.006,-0.001,0.000,
0.982,-1.142,7.717,-0.811,-0.008,0.288,0.002,0.194,0.002,-0.004,0.000,
0.984,-1.178,7.864,-0.763,-0.010,0.304,0.001,0.196,-0.003,-0.009,0.000,
0.986,-1.214,8.029,-0.721,-0.012,0.319,-0.001,0.198,-0.008,-0.013,0.000,
0.988,-1.249,8.212,-0.687,-0.015,0.335,-0.002,0.197,-0.011,-0.018,0.000,
0.990,-1.279,8.404,-0.663,-0.017,0.352,-0.004,0.195,-0.013,-0.022,2.000,
0.992,-1.297,8.594,-0.643,-0.020,0.369,-0.005,0.192,-0.014,-0.027,0.000,
1.004,-1.302,8.778,-0.620,-0.022,0.386,-0.006,0.169,0.011,-0.050,0.000,
1.006,-1.252,9.515,-0.549,-0.025,0.403,-0.008,0.154,0.025,-0.055,0.000,
1.008,-1.185,10.393,-0.489,-0.028,0.422,-0.009,0.149,0.021,-0.041,0.000,
1.010,-1.129,11.147,-0.475,-0.030,0.443,-0.010,0.143,0.019,-0.030,2.000,
1.012,-1.089,11.689,-0.516,-0.032,0.466,-0.011,0.132,0.024,-0.025,0.000,
1.014,-1.059,12.061,-0.603,-0.034,0.489,-0.012,0.124,0.026,-0.018,0.000,
1.016,-1.026,12.354,-0.720,-0.036,0.513,-0.013,0.123,0.022,-0.005,0.000,
1.018,-0.973,12.642,-0.851,-0.038,0.538,-0.014,0.125,0.015,0.004,2.000,
1.020,-0.891,12.962,-0.993,-0.040,0.563,-0.016,0.129,0.008,0.009,0.000,
1.022,-0.776,13.316,-1.144,-0.042,0.589,-0.018,0.137,0.004,0.011,0.000,
1.024,-0.635,13.682,-1.297,-0.044,0.616,-0.020,0.150,0.002,0.012,0.000,
1.026,-0.477,14.038,-1.441,-0.045,0.643,-0.023,0.164,0.004,0.009,2.000,
1.028,-0.320,14.369,-1.562,-0.046,0.671,-0.026,0.184,0.010,0.000,0.000,
1.030,-0.184,14.676,-1.652,-0.047,0.700,-0.029,0.208,0.020,-0.017,0.000,
1.032,-0.089,14.970,-1.706,-0.047,0.729,-0.032,0.234,0.032,-0.035,2.000,
1.034,-0.054,15.268,-1.726,-0.047,0.759,-0.036,0.257,0.043,-0.049,0.000,
1.036,-0.078,15.581,-1.723,-0.047,0.790,-0.039,0.279,0.053,-0.057,1.000,
1.038,-0.138,15.905,-1.708,-0.047,0.821,-0.043,0.300,0.060,-0.063,2.000,
1.040,-0.204,16.223,-1.689,-0.048,0.853,-0.046,0.317,0.061,-0.068,0.000,
1.042,-0.247,16.515,-1.674,-0.048,0.885,-0.049,0.327,0.058,-0.074,0.000,
1.044,-0.247,16.770,-1.663,-0.049,0.918,-0.053,0.330,0.054,-0.078,2.000,
1.046,-0.201,16.984,-1.650,-0.049,0.952,-0.056,0.330,0.053,-0.082,0.000,
1.048,-0.123,17.160,-1.632,-0.050,0.986,-0.059,0.328,0.052,-0.087,0.000,
1.050,-0.034,17.301,-1.606,-0.050,1.020,-0.063,0.325,0.051,-0.092,2.000,
1.052,0.046,17.408,-1.563,-0.050,1.054,-0.066,0.322,0.049,-0.097,0.000,
1.054,0.101,17.483,-1.498,-0.050,1.089,-0.069,0.318,0.045,-0.101,2.000,
1.056,0.123,17.533,-1.416,-0.050,1.124,-0.072,0.313,0.040,-0.104,0.000,
1.058,0.116,17.566,-1.326,-0.049,1.159,-0.075,0.309,0.032,-0.107,0.000,
1.060,0.091,17.592,-1.238,-0.049,1.194,-0.077,0.303,0.024,-0.105,2.000,
1.062,0.056,17.614,-1.158,-0.049,1.230,-0.080,0.298,0.016,-0.099,0.000,
1.064,0.013,17.637,-1.089,-0.049,1.265,-0.082,0.294,0.009,-0.092,0.000,
1.066,-0.038,17.666,-1.034,-0.049,1.300,-0.084,0.292,0.004,-0.085,2.000,
1.068,-0.097,17.707,-0.993,-0.049,1.335,-0.086,0.294,0.002,-0.077,0.000,
1.070,-0.157,17.757,-0.967,-0.049,1.371,-0.088,0.301,0.003,-0.071,2.000,
1.072,-0.205,17.817,-0.961,-0.049,1.406,-0.090,0.311,0.008,-0.065,0.000,
1.074,-0.226,17.890,-0.982,-0.050,1.442,-0.092,0.325,0.014,-0.064,0.000,
1.076,-0.214,17.991,-1.029,-0.050,1.478,-0.094,0.342,0.021,-0.069,2.000,
1.078,-0.166,18.140,-1.096,-0.051,1.514,-0.096,0.353,0.027,-0.082,0.000,
1.080,-0.091,18.364,-1.183,-0.051,1.550,-0.098,0.359,0.030,-0.098,2.000,
1.082,-0.001,18.682,-1.295,-0.051,1.587,-0.101,0.368,0.036,-0.112,0.000,
1.084,0.094,19.101,-1.432,-0.051,1.624,-0.103,0.376,0.048,-0.124,0.000,
1.086,0.180,19.635,-1.585,-0.051,1.662,-0.106,0.372,0.060,-0.137,2.000,
1.088,0.240,20.289,-1.748,-0.051,1.702,-0.109,0.365,0.071,-0.150,0.000,
1.090,0.261,21.041,-1.913,-0.050,1.742,-0.113,0.363,0.081,-0.161,2.000,
1.092,0.241,21.855,-2.068,-0.050,1.784,-0.117,0.364,0.093,-0.168,0.000,
1.094,0.181,22.698,-2.206,-0.049,1.828,-0.121,0.366,0.106,-0.169,2.000,
