0.048,0.015,-0.015,0.018,-9.876,0.126,0.215,0.049,-0.036,0.027,-9.996,0.612,0.334,
0.050,0.020,-0.014,0.007,-9.875,0.126,0.214,0.052,-0.031,0.018,-9.995,0.611,0.335,
0.052,0.023,-0.016,-0.009,-9.875,0.126,0.213,0.053,-0.024,0.003,-9.995,0.610,0.337,
0.054,0.026,-0.021,-0.023,-9.874,0.127,0.211,0.047,-0.018,-0.016,-9.996,0.611,0.339,
0.056,0.029,-0.026,-0.033,-9.873,0.128,0.209,0.037,-0.015,-0.035,-9.994,0.611,0.341,
0.058,0.030,-0.032,-0.043,-9.873,0.129,0.207,0.033,-0.018,-0.049,-9.992,0.612,0.342,
0.060,0.031,-0.041,-0.057,-9.874,0.130,0.207,0.034,-0.023,-0.058,-9.993,0.612,0.341,
0.062,0.029,-0.052,-0.073,-9.876,0.130,0.208,0.035,-0.024,-0.064,-9.992,0.612,0.340,
0.064,0.021,-0.062,-0.086,-9.877,0.130,0.209,0.032,-0.030,-0.071,-9.989,0.612,0.339,
0.070,0.012,-0.091,-0.112,-9.879,0.128,0.213,0.031,-0.055,-0.088,-9.986,0.611,0.339,
0.070,0.010,-0.099,-0.117,-9.878,0.127,0.216,0.029,-0.068,-0.090,-9.985,0.611,0.338,
0.072,0.004,-0.102,-0.116,-9.878,0.126,0.219,0.022,-0.082,-0.095,-9.985,0.610,0.339,
0.074,-0.003,-0.103,-0.110,-9.879,0.124,0.222,0.012,-0.092,-0.100,-9.985,0.610,0.341,
0.076,-0.011,-0.102,-0.104,-9.878,0.122,0.223,0.005,-0.103,-0.101,-9.985,0.609,0.342,
0.078,-0.016,-0.102,-0.101,-9.878,0.120,0.224,0.002,-0.111,-0.100,-9.986,0.608,0.344,
0.080,-0.017,-0.102,-0.096,-9.879,0.120,0.223,-0.002,-0.116,-0.095,-9.987,0.609,0.345,
0.082,-0.014,-0.103,-0.089,-9.880,0.120,0.221,-0.008,-0.120,-0.088,-9.987,0.610,0.347,
0.084,-0.006,-0.105,-0.085,-9.880,0.121,0.218,-0.017,-0.116,-0.077,-9.986,0.610,0.349,
0.086,0.004,-0.107,-0.085,-9.879,0.122,0.217,-0.023,-0.107,-0.066,-9.986,0.608,0.351,
0.093,0.013,-0.101,-0.075,-9.877,0.126,0.219,-0.029,-0.077,-0.051,-9.995,0.599,0.355,
0.093,0.011,-0.093,-0.073,-9.877,0.127,0.220,-0.032,-0.065,-0.053,-10.001,0.597,0.355,
0.095,0.012,-0.083,-0.076,-9.878,0.129,0.222,-0.035,-0.053,-0.053,-10.004,0.595,0.354,
0.097,0.012,-0.074,-0.077,-9.878,0.130,0.223,-0.037,-0.045,-0.057,-10.006,0.595,0.353,
0.099,0.010,-0.063,-0.072,-9.879,0.131,0.223,-0.033,-0.039,-0.058,-10.006,0.595,0.352,
0.101,0.006,-0.051,-0.062,-9.880,0.131,0.223,-0.019,-0.034,-0.061,-10.006,0.596,0.348,
0.103,0.003,-0.040,-0.052,-9.880,0.132,0.222,-0.005,-0.034,-0.070,-10.007,0.596,0.345,
0.105,0.001,-0.031,-0.047,-9.881,0.131,0.220,0.005,-0.035,-0.079,-10.008,0.596,0.343,
0.107,-0.002,-0.024,-0.047,-9.882,0.129,0.217,0.012,-0.032,-0.078,-10.009,0.597,0.341,
0.109,-0.009,-0.020,-0.051,-9.882,0.127,0.214,0.014,-0.028,-0.068,-10.008,0.598,0.340,
0.115,-0.011,-0.028,-0.060,-9.877,0.123,0.210,0.015,-0.018,-0.054,-10.011,0.600,0.340,
0.115,-0.009,-0.031,-0.063,-9.875,0.122,0.210,0.017,-0.011,-0.051,-10.012,0.602,0.341,
0.117,-0.006,-0.032,-0.061,-9.873,0.122,0.210,0.009,-0.005,-0.052,-10.012,0.604,0.342,
0.119,-0.004,-0.028,-0.052,-9.872,0.123,0.212,-0.001,0.002,-0.047,-10.013,0.606,0.342,
0.121,-0.001,-0.023,-0.038,-9.872,0.125,0.212,-0.009,0.012,-0.039,-10.014,0.608,0.342,
0.123,0.002,-0.020,-0.028,-9.871,0.127,0.212,-0.013,0.019,-0.035,-10.011,0.611,0.341,
0.125,0.005,-0.021,-0.023,-9.871,0.128,0.212,-0.016,0.023,-0.038,-10.008,0.613,0.340,
0.127,0.005,-0.023,-0.019,-9.871,0.129,0.213,-0.013,0.023,-0.045,-10.005,0.614,0.340,
0.129,0.005,-0.025,-0.018,-9.871,0.128,0.213,-0.009,0.018,-0.047,-10.004,0.616,0.341,
0.131,0.006,-0.029,-0.021,-9.872,0.127,0.214,-0.002,0.011,-0.047,-10.002,0.617,0.343,
0.138,0.006,-0.024,-0.025,-9.872,0.126,0.218,0.031,0.010,-0.042,-10.004,0.613,0.345,
0.138,-0.001,-0.018,-0.022,-9.873,0.127,0.220,0.041,0.018,-0.032,-10.005,0.611,0.346,
0.140,-0.006,-0.015,-0.018,-9.875,0.128,0.222,0.045,0.024,-0.017,-10.002,0.609,0.347,
0.142,-0.009,-0.013,-0.015,-9.876,0.128,0.222,0.044,0.026,-0.002,-9.996,0.607,0.348,
0.144,-0.016,-0.009,-0.007,-9.876,0.129,0.221,0.047,0.023,0.005,-9.991,0.606,0.348,
0.146,-0.022,-0.004,-0.000,-9.877,0.129,0.220,0.053,0.020,0.008,-9.989,0.606,0.348,
0.148,-0.023,-0.001,0.008,-9.877,0.129,0.219,0.055,0.020,0.018,-9.988,0.608,0.346,
0.150,-0.015,0.004,0.018,-9.878,0.128,0.217,0.054,0.021,0.029,-9.988,0.609,0.344,
