time,gyrx,gyry,gyrz,rol,pit,yaw,accx,accy,accz,vCmds,,,,gforcex,gforcey,gforcez
0.055,0.002,0.001,0,-0.484,-0.512,10.07,0,-0.001,-0.001,-0.484,-0.512,10.07,0,-0.049337410805301,-0.052191641182467,1.02650356778797
0.056,0.002,0.001,0,-0.464,-0.517,9.984,0,-0.001,-0.001,-0.464,-0.517,9.984,0,-0.047298674821611,-0.052701325178389,1.0177370030581
0.057,0.002,0.001,0,-0.436,-0.527,9.993,0,-0.001,-0.001,-0.436,-0.527,9.993,0,-0.044444444444445,-0.053720693170235,1.01865443425076
0.058,0.002,0.001,0,-0.45,-0.498,10.051,0,-0.001,-0.002,-0.45,-0.498,10.051,0,-0.045871559633028,-0.050764525993884,1.02456676860347
0.059,0.002,0.001,0,-0.479,-0.493,10.06,0.001,-0.001,-0.002,-0.479,-0.493,10.06,0,-0.048827726809378,-0.050254841997961,1.02548419979613
0.06,0.002,0.001,0,-0.455,-0.488,10.017,0.001,-0.001,-0.002,-0.455,-0.488,10.017,0,-0.04638124362895,-0.049745158002039,1.02110091743119
0.061,0.002,0.001,0,-0.441,-0.493,9.974,0.001,0,-0.002,-0.441,-0.493,9.974,0,-0.044954128440367,-0.050254841997961,1.01671763506626
0.062,0.002,0.001,0,-0.474,-0.527,10.036,0.001,0,-0.002,-0.474,-0.527,10.036,0,-0.048318042813456,-0.053720693170235,1.0230377166157
0.063,0.002,0.001,0,-0.46,-0.546,10.089,0.001,0,-0.002,-0.46,-0.546,10.089,0,-0.046890927624873,-0.05565749235474,1.02844036697248
0.064,0.002,0.001,0,-0.436,-0.536,10.065,0.001,0,-0.002,-0.436,-0.536,10.065,0,-0.044444444444445,-0.054638124362895,1.02599388379205
0.065,0.002,0.001,0,-0.426,-0.541,10.06,0.001,-0.001,-0.002,-0.426,-0.541,10.06,0,-0.043425076452599,-0.055147808358818,1.02548419979613
0.066,0.002,0.001,0,-0.441,-0.522,10.084,0.001,-0.001,-0.002,-0.441,-0.522,10.084,0,-0.044954128440367,-0.053211009174312,1.02793068297655
0.067,0.002,0.001,0,-0.436,-0.493,10.065,0.001,-0.001,-0.002,-0.436,-0.493,10.065,0,-0.044444444444445,-0.050254841997961,1.02599388379205
0.068,0.002,0.001,0,-0.445,-0.503,10.089,0.001,-0.001,-0.002,-0.445,-0.503,10.089,0,-0.045361875637105,-0.051274209989806,1.02844036697248
0.069,0.002,0.001,0,-0.469,-0.512,10.07,0.001,-0.001,-0.002,-0.469,-0.512,10.07,0,-0.047808358817533,-0.052191641182467,1.02650356778797
0.07,0.002,0.001,0,-0.469,-0.527,10.013,0.001,-0.001,-0.002,-0.469,-0.527,10.013,0,-0.047808358817533,-0.053720693170235,1.02069317023445
0.071,0.002,0.001,0,-0.436,-0.527,9.993,0.001,-0.001,-0.002,-0.436,-0.527,9.993,0,-0.044444444444445,-0.053720693170235,1.01865443425076
0.072,0.001,0.001,0,-0.445,-0.527,10.041,0.001,-0.001,-0.002,-0.445,-0.527,10.041,0,-0.045361875637105,-0.053720693170235,1.02354740061162
0.073,0.001,0.001,0,-0.445,-0.503,10.094,0.001,-0.001,-0.002,-0.445,-0.503,10.094,0,-0.045361875637105,-0.051274209989806,1.0289500509684
0.074,0.001,0.001,0,-0.445,-0.493,10.08,0.001,-0.001,-0.002,-0.445,-0.493,10.08,0,-0.045361875637105,-0.050254841997961,1.02752293577982
0.075,0.001,0.001,0,-0.417,-0.493,10.089,0.001,-0.002,-0.002,-0.417,-0.493,10.089,0,-0.042507645259939,-0.050254841997961,1.02844036697248
0.076,0.001,0.001,0,-0.417,-0.493,10.089,0.001,-0.002,-0.002,-0.417,-0.493,10.089,0,-0.042507645259939,-0.050254841997961,1.02844036697248
0.077,0.001,0.001,0,-0.383,-0.493,10.089,0.001,-0.002,-0.002,-0.383,-0.493,10.089,0,-0.039041794087666,-0.050254841997961,1.02844036697248
0.078,0.001,0.001,0,-0.407,-0.517,10.051,0.001,-0.002,-0.002,-0.407,-0.517,10.051,0,-0.041488277268094,-0.052701325178389,1.02456676860347
0.079,0.001,0.001,0,-0.412,-0.536,10.036,0.001,-0.001,-0.002,-0.412,-0.536,10.036,0,-0.041997961264016,-0.054638124362895,1.0230377166157
0.08,0.001,0.001,0,-0.388,-0.536,10.051,0.001,-0.001,-0.002,-0.388,-0.536,10.051,0,-0.039551478083588,-0.054638124362895,1.02456676860347
0.081,0.001,0.001,0,-0.417,-0.484,10.056,0.001,-0.001,-0.002,-0.417,-0.484,10.056,0,-0.042507645259939,-0.049337410805301,1.02507645259939
0.082,0.001,0.001,0,-0.426,-0.488,10.075,0.001,-0.001,-0.002,-0.426,-0.488,10.075,0,-0.043425076452599,-0.049745158002039,1.02701325178389
0.083,0.002,0.001,0,-0.431,-0.522,10.123,0.001,-0.001,-0.002,-0.431,-0.522,10.123,0,-0.043934760448522,-0.053211009174312,1.03190621814475
0.084,0.002,0.001,0,-0.46,-0.512,10.147,0.001,-0.001,-0.001,-0.46,-0.512,10.147,0,-0.046890927624873,-0.052191641182467,1.03435270132518
0.085,0.002,0.001,0,-0.45,-0.498,10.056,0.001,-0.001,-0.001,-0.45,-0.498,10.056,0,-0.045871559633028,-0.050764525993884,1.02507645259939
0.086,0.002,0.001,0,-0.441,-0.484,9.969,0.001,-0.001,-0.001,-0.441,-0.484,9.969,0,-0.044954128440367,-0.049337410805301,1.01620795107034
0.087,0.002,0.001,0,-0.455,-0.493,10.027,0.001,-0.001,-0.001,-0.455,-0.493,10.027,0,-0.04638124362895,-0.050254841997961,1.02212028542304
0.088,0.002,0.001,0,-0.46,-0.493,10.041,0.001,-0.001,-0.001,-0.46,-0.493,10.041,0,-0.046890927624873,-0.050254841997961,1.02354740061162
0.089,0.002,0.001,0,-0.455,-0.46,10.056,0.001,-0.001,-0.001,-0.455,-0.46,10.056,0,-0.04638124362895,-0.046890927624873,1.02507645259939
0.09,0.002,0.001,0,-0.469,-0.508,10.07,0.001,-0.001,-0.001,-0.469,-0.508,10.07,0,-0.047808358817533,-0.051783893985729,1.02650356778797
0.091,0.002,0,0,-0.469,-0.551,10.036,0.001,-0.001,-0.001,-0.469,-0.551,10.036,0,-0.047808358817533,-0.056167176350663,1.0230377166157
0.092,0.002,0,0,-0.445,-0.532,10.06,0.001,-0.001,-0.001,-0.445,-0.532,10.06,0,-0.045361875637105,-0.054230377166157,1.02548419979613
0.093,0.002,0,0,-0.455,-0.522,10.089,0.001,0,-0.001,-0.455,-0.522,10.089,0,-0.04638124362895,-0.053211009174312,1.02844036697248
0.094,0.002,0,0,-0.46,-0.522,10.036,0.001,0,-0.001,-0.46,-0.522,10.036,0,-0.046890927624873,-0.053211009174312,1.0230377166157
0.095,0.002,0,0,-0.441,-0.527,10.06,0.001,0,0,-0.441,-0.527,10.06,0,-0.044954128440367,-0.053720693170235,1.02548419979613
0.096,0.002,0,0,-0.436,-0.551,10.108,0.001,0,0,-0.436,-0.551,10.108,0,-0.044444444444445,-0.056167176350663,1.03037716615698
0.097,0.002,0,0,-0.441,-0.565,10.065,0.001,0,0,-0.441,-0.565,10.065,0,-0.044954128440367,-0.057594291539246,1.02599388379205
0.098,0.002,0,0,-0.421,-0.546,10.036,0.001,0,0,-0.421,-0.546,10.036,0,-0.042915392456677,-0.05565749235474,1.0230377166157
0.099,0.002,0,0,-0.445,-0.532,10.036,0.001,0,0,-0.445,-0.532,10.036,0,-0.045361875637105,-0.054230377166157,1.0230377166157
0.1,0.002,0,0,-0.484,-0.532,10.041,0.001,0,0,-0.484,-0.532,10.041,0,-0.049337410805301,-0.054230377166157,1.02354740061162
0.101,0.002,0,0,-0.469,-0.488,10.075,0.001,0,0,-0.469,-0.488,10.075,0,-0.047808358817533,-0.049745158002039,1.02701325178389
0.102,0.002,0,0,-0.455,-0.46,10.075,0.001,0,0,-0.455,-0.46,10.075,0,-0.04638124362895,-0.046890927624873,1.02701325178389
0.103,0.001,0,0,-0.431,-0.512,10.094,0.001,0,0,-0.431,-0.512,10.094,0,-0.043934760448522,-0.052191641182467,1.0289500509684
0.104,0.002,0,0,-0.431,-0.541,10.08,0.001,0,0,-0.431,-0.541,10.08,0,-0.043934760448522,-0.055147808358818,1.02752293577982
0.105,0.002,0,0,-0.445,-0.517,10.027,0.001,0,0,-0.445,-0.517,10.027,0,-0.045361875637105,-0.052701325178389,1.02212028542304
