time,gyrx,gyry,gyrz,rol,pit,yaw,accx,accy,accz,vCmds
0.798,-10.478,2.913,-1.958,-0.371,-0.090,0.006,0.160,0.107,0.059,0.000,
0.800,-11.017,2.777,-2.156,-0.392,-0.084,0.002,0.208,0.169,0.016,0.000,
0.802,-11.409,2.671,-2.247,-0.414,-0.078,-0.003,0.225,0.200,-0.013,2.000,
0.804,-11.659,2.604,-2.271,-0.437,-0.073,-0.007,0.220,0.205,-0.022,0.000,
0.806,-11.862,2.552,-2.268,-0.460,-0.068,-0.012,0.203,0.194,-0.014,0.000,
0.808,-12.004,2.522,-2.243,-0.484,-0.063,-0.016,0.187,0.173,0.001,0.000,
0.810,-12.084,2.512,-2.151,-0.508,-0.058,-0.021,0.175,0.150,0.010,0.000,
0.812,-12.081,2.520,-2.005,-0.532,-0.053,-0.025,0.166,0.131,0.012,0.000,
0.814,-11.932,2.564,-1.754,-0.556,-0.048,-0.029,0.154,0.119,0.011,0.000,
0.816,-11.695,2.631,-1.480,-0.580,-0.042,-0.032,0.133,0.110,0.011,0.000,
0.818,-11.335,2.733,-1.172,-0.603,-0.037,-0.035,0.105,0.103,0.017,0.000,
0.820,-10.962,2.842,-0.911,-0.626,-0.032,-0.038,0.073,0.099,0.029,4.000,
0.822,-10.557,2.973,-0.677,-0.648,-0.026,-0.040,0.037,0.101,0.046,0.000,
0.824,-10.215,3.090,-0.508,-0.669,-0.020,-0.041,0.003,0.111,0.065,0.000,
0.826,-9.963,3.176,-0.400,-0.689,-0.014,-0.042,-0.029,0.127,0.089,0.000,
0.828,-9.711,3.246,-0.285,-0.709,-0.008,-0.043,-0.057,0.150,0.117,0.000,
0.830,-9.485,3.285,-0.171,-0.729,-0.001,-0.043,-0.079,0.176,0.147,0.000,
0.832,-9.202,3.263,-0.012,-0.748,0.005,-0.044,-0.094,0.204,0.175,0.000,
0.834,-8.916,3.184,0.164,-0.766,0.012,-0.044,-0.098,0.234,0.189,0.000,
0.836,-8.575,3.007,0.407,-0.784,0.018,-0.043,-0.092,0.262,0.185,2.000,
0.838,-8.261,2.788,0.657,-0.801,0.024,-0.043,-0.079,0.285,0.169,0.000,
0.840,-7.937,2.499,0.938,-0.818,0.030,-0.041,-0.069,0.295,0.148,0.000,
0.842,-7.665,2.221,1.182,-0.833,0.035,-0.039,-0.065,0.294,0.128,0.000,
0.844,-7.396,1.926,1.409,-0.849,0.039,-0.037,-0.067,0.286,0.106,0.000,
0.846,-7.168,1.680,1.574,-0.864,0.043,-0.034,-0.066,0.274,0.085,0.000,
0.848,-6.982,1.504,1.668,-0.878,0.047,-0.031,-0.056,0.267,0.065,0.000,
0.850,-6.741,1.348,1.719,-0.892,0.050,-0.028,-0.036,0.269,0.045,0.000,
0.852,-6.490,1.229,1.738,-0.905,0.052,-0.024,-0.012,0.280,0.020,0.000,
0.854,-6.185,1.130,1.736,-0.918,0.055,-0.021,0.013,0.302,-0.008,0.000,
0.856,-5.905,1.065,1.713,-0.931,0.057,-0.017,0.034,0.333,-0.037,0.000,
0.858,-5.630,1.045,1.653,-0.942,0.059,-0.014,0.051,0.368,-0.068,0.000,
0.860,-5.414,1.074,1.581,-0.954,0.061,-0.011,0.066,0.400,-0.103,0.000,
0.862,-5.226,1.180,1.512,-0.965,0.063,-0.007,0.077,0.425,-0.135,0.000,
0.864,-5.080,1.325,1.468,-0.975,0.066,-0.004,0.082,0.442,-0.157,1.000,
0.866,-4.908,1.521,1.466,-0.985,0.068,-0.001,0.079,0.448,-0.165,0.000,
0.868,-4.733,1.712,1.496,-0.995,0.071,0.001,0.067,0.443,-0.169,0.000,
0.870,-4.566,1.871,1.535,-1.004,0.075,0.004,0.045,0.425,-0.177,0.000,
0.872,-4.350,2.032,1.549,-1.014,0.079,0.008,0.021,0.398,-0.191,0.000,
0.874,-4.134,2.175,1.533,-1.022,0.083,0.011,0.003,0.367,-0.215,0.000,
0.876,-3.886,2.355,1.475,-1.031,0.087,0.014,-0.005,0.340,-0.251,0.000,
0.878,-3.664,2.545,1.407,-1.038,0.092,0.017,-0.007,0.323,-0.293,0.000,
0.880,-3.443,2.816,1.352,-1.046,0.097,0.019,-0.006,0.319,-0.327,0.000,
0.882,-3.270,3.107,1.328,-1.053,0.102,0.022,-0.004,0.322,-0.342,0.000,
0.884,-3.139,3.479,1.338,-1.059,0.109,0.025,-0.007,0.326,-0.333,2.000,
0.886,-3.072,3.842,1.359,-1.065,0.116,0.028,-0.018,0.325,-0.302,0.000,
