time,gyrx,gyry,gyrz,rol,pit,yaw,accx,accy,accz,vCmds
0.230,0.247,0.204,-0.340,0.032,0.070,0.004,0.059,-0.015,0.070,0.000,
0.232,0.203,0.208,-0.335,0.033,0.070,0.003,0.046,0.000,0.038,0.000,
0.234,0.090,0.265,-0.259,0.033,0.071,0.003,0.027,0.016,-0.000,0.000,
0.236,0.038,0.310,-0.198,0.033,0.071,0.002,-0.006,0.032,-0.033,0.000,
0.238,-0.020,0.420,-0.054,0.033,0.072,0.002,-0.042,0.042,-0.061,0.000,
0.240,-0.017,0.470,-0.001,0.033,0.073,0.002,-0.078,0.040,-0.083,0.000,
0.242,0.050,0.548,-0.004,0.033,0.074,0.002,-0.111,0.034,-0.096,0.000,
0.244,0.115,0.566,-0.060,0.033,0.075,0.002,-0.132,0.024,-0.107,0.000,
0.246,0.285,0.563,-0.215,0.034,0.076,0.002,-0.145,0.009,-0.118,0.000,
0.248,0.369,0.532,-0.300,0.034,0.077,0.001,-0.154,0.000,-0.112,0.000,
0.250,0.437,0.465,-0.378,0.035,0.078,0.001,-0.153,-0.011,-0.093,0.000,
0.252,0.519,0.241,-0.511,0.036,0.079,-0.000,-0.135,-0.031,-0.072,0.000,
0.254,0.534,0.111,-0.561,0.037,0.080,-0.001,-0.104,-0.049,-0.053,0.000,
0.256,0.523,-0.155,-0.636,0.038,0.080,-0.002,-0.068,-0.058,-0.039,0.000,
0.258,0.503,-0.294,-0.672,0.039,0.079,-0.004,-0.019,-0.054,-0.040,0.000,
0.260,0.448,-0.558,-0.731,0.040,0.079,-0.005,0.035,-0.043,-0.050,0.000,
0.262,0.420,-0.645,-0.757,0.041,0.078,-0.006,0.079,-0.029,-0.060,0.000,
0.264,0.359,-0.666,-0.760,0.042,0.076,-0.008,0.109,-0.019,-0.073,0.000,
0.266,0.329,-0.596,-0.708,0.042,0.075,-0.009,0.128,-0.019,-0.088,0.000,
0.268,0.299,-0.481,-0.627,0.043,0.074,-0.011,0.131,-0.018,-0.111,0.000,
0.270,0.260,-0.151,-0.444,0.044,0.073,-0.012,0.128,-0.018,-0.130,0.000,
0.272,0.249,0.041,-0.357,0.044,0.073,-0.013,0.125,-0.022,-0.145,0.000,
0.274,0.234,0.433,-0.191,0.045,0.073,-0.014,0.120,-0.025,-0.162,0.000,
0.276,0.226,0.627,-0.106,0.045,0.074,-0.014,0.106,-0.027,-0.171,0.000,
0.278,0.229,0.990,0.070,0.046,0.075,-0.014,0.093,-0.026,-0.164,0.000,
0.280,0.238,1.146,0.143,0.046,0.077,-0.014,0.082,-0.021,-0.138,0.000,
0.282,0.259,1.417,0.251,0.047,0.079,-0.014,0.072,-0.012,-0.100,0.000,
0.284,0.271,1.531,0.283,0.047,0.082,-0.013,0.067,-0.002,-0.058,0.000,
0.286,0.307,1.705,0.310,0.048,0.085,-0.013,0.059,0.005,-0.029,0.000,
0.288,0.334,1.761,0.308,0.048,0.088,-0.012,0.049,0.006,-0.019,0.000,
0.290,0.395,1.801,0.265,0.049,0.092,-0.012,0.045,0.003,-0.012,0.000,
0.292,0.423,1.793,0.241,0.050,0.096,-0.011,0.049,-0.006,0.001,0.000,
0.294,0.454,1.784,0.229,0.050,0.099,-0.011,0.060,-0.010,0.010,0.000,
0.296,0.520,1.776,0.236,0.051,0.103,-0.010,0.071,-0.009,0.015,0.000,
0.298,0.562,1.767,0.266,0.052,0.106,-0.010,0.086,-0.003,0.011,0.000,
0.300,0.578,1.760,0.287,0.054,0.110,-0.009,0.102,-0.000,0.016,0.000,
0.302,0.584,1.751,0.313,0.055,0.113,-0.008,0.107,-0.001,0.032,0.000,
0.304,0.578,1.725,0.364,0.056,0.117,-0.008,0.101,-0.008,0.047,0.000,
0.306,0.576,1.680,0.387,0.057,0.120,-0.007,0.087,-0.026,0.052,0.000,
0.308,0.578,1.430,0.413,0.058,0.124,-0.006,0.067,-0.048,0.065,0.000,
0.310,0.577,1.215,0.401,0.059,0.127,-0.006,0.040,-0.066,0.087,0.000,
0.312,0.567,0.634,0.294,0.060,0.129,-0.005,0.009,-0.069,0.107,0.000,
0.314,0.561,0.289,0.208,0.062,0.130,-0.004,-0.012,-0.063,0.114,2.000,
0.316,0.532,-0.474,0.009,0.063,0.131,-0.004,-0.024,-0.055,0.113,0.000,
0.318,0.500,-0.875,-0.096,0.064,0.130,-0.004,-0.028,-0.045,0.111,0.000,
0.320,0.430,-1.637,-0.311,0.065,0.128,-0.004,-0.028,-0.037,0.108,0.000,
0.322,0.382,-1.987,-0.426,0.066,0.125,-0.005,-0.037,-0.033,0.106,0.000,
0.324,0.319,-2.313,-0.541,0.066,0.121,-0.005,-0.049,-0.031,0.102,0.000,
0.326,0.177,-2.895,-0.735,0.067,0.116,-0.006,-0.058,-0.033,0.092,0.000,
0.328,0.111,-3.150,-0.806,0.067,0.110,-0.008,-0.061,-0.034,0.084,0.000,
0.330,-0.032,-3.582,-0.939,0.068,0.104,-0.010,-0.053,-0.029,0.067,8.000,
0.332,-0.113,-3.749,-1.013,0.068,0.097,-0.011,-0.036,-0.018,0.048,0.000,
0.334,-0.256,-3.969,-1.129,0.067,0.089,-0.013,-0.025,-0.013,0.024,0.000,
0.336,-0.302,-4.019,-1.157,0.067,0.082,-0.016,-0.018,-0.020,-0.005,0.000,
0.338,-0.359,-3.995,-1.180,0.066,0.074,-0.018,-0.011,-0.036,-0.028,0.000,
0.340,-0.380,-3.938,-1.178,0.066,0.066,-0.020,0.002,-0.062,-0.035,0.000,
0.342,-0.402,-3.873,-1.165,0.065,0.058,-0.023,0.018,-0.085,-0.032,0.000,
0.344,-0.464,-3.757,-1.180,0.064,0.050,-0.025,0.034,-0.105,-0.014,0.000,
0.346,-0.548,-3.685,-1.268,0.063,0.042,-0.027,0.053,-0.121,0.017,0.000,
0.348,-0.580,-3.672,-1.315,0.062,0.035,-0.030,0.068,-0.132,0.043,0.000,
0.350,-0.600,-3.677,-1.355,0.061,0.028,-0.033,0.079,-0.133,0.056,0.000,
0.352,-0.630,-3.719,-1.420,0.060,0.020,-0.035,0.089,-0.127,0.057,0.000,
0.354,-0.647,-3.746,-1.446,0.058,0.013,-0.038,0.090,-0.118,0.045,0.000,
0.356,-0.671,-3.785,-1.440,0.057,0.005,-0.041,0.084,-0.099,0.027,8.000,
0.358,-0.679,-3.780,-1.398,0.056,-0.002,-0.044,0.086,-0.068,0.008,4.000,
0.360,-0.701,-3.701,-1.251,0.054,-0.010,-0.047,0.092,-0.035,-0.001,0.000,
0.362,-0.706,-3.628,-1.148,0.053,-0.017,-0.049,0.095,-0.003,-0.002,0.000,
0.364,-0.714,-3.457,-0.947,0.052,-0.024,-0.051,0.097,0.019,0.003,0.000,
0.366,-0.718,-3.377,-0.873,0.050,-0.031,-0.053,0.087,0.029,-0.002,0.000,
0.368,-0.718,-3.303,-0.819,0.049,-0.038,-0.055,0.070,0.035,-0.015,0.000,
0.370,-0.703,-3.147,-0.715,0.047,-0.045,-0.057,0.045,0.036,-0.037,0.000,
0.372,-0.695,-2.924,-0.572,0.046,-0.051,-0.058,0.018,0.034,-0.063,0.000,
0.374,-0.677,-2.745,-0.498,0.044,-0.057,-0.059,-0.008,0.036,-0.089,0.000,
0.376,-0.639,-2.520,-0.422,0.043,-0.062,-0.060,-0.032,0.049,-0.108,0.000,
0.378,-0.522,-1.977,-0.271,0.042,-0.067,-0.061,-0.048,0.071,-0.112,0.000,
0.380,-0.446,-1.673,-0.205,0.041,-0.071,-0.062,-0.057,0.091,-0.106,0.000,
0.382,-0.266,-1.069,-0.096,0.040,-0.075,-0.062,-0.061,0.112,-0.092,0.000,
0.384,-0.170,-0.797,-0.054,0.039,-0.077,-0.062,-0.056,0.120,-0.086,0.000,
0.386,-0.006,-0.353,0.000,0.039,-0.078,-0.062,-0.049,0.124,-0.087,8.000,
0.388,0.051,-0.187,0.028,0.039,-0.079,-0.062,-0.043,0.124,-0.086,0.000,
0.390,0.159,0.074,0.090,0.039,-0.079,-0.062,-0.039,0.126,-0.081,0.000,
0.392,0.208,0.188,0.119,0.039,-0.079,-0.062,-0.031,0.125,-0.062,0.000,
0.394,0.290,0.388,0.216,0.040,-0.079,-0.062,-0.018,0.119,-0.042,0.000,
0.396,0.324,0.485,0.297,0.040,-0.078,-0.062,-0.001,0.106,-0.014,0.000,
0.398,0.343,0.582,0.390,0.041,-0.077,-0.061,0.017,0.087,0.017,0.000,
0.400,0.339,0.771,0.568,0.042,-0.076,-0.060,0.031,0.064,0.049,0.000,
0.402,0.327,0.866,0.665,0.042,-0.074,-0.059,0.039,0.048,0.072,0.000,
0.404,0.272,1.041,0.856,0.043,-0.073,-0.058,0.032,0.038,0.086,0.000,
0.406,0.237,1.118,0.929,0.044,-0.071,-0.056,0.017,0.028,0.094,0.000,
0.408,0.198,1.272,1.035,0.044,-0.068,-0.054,-0.002,0.021,0.093,0.000,
0.410,0.192,1.351,1.085,0.044,-0.066,-0.052,-0.025,0.020,0.080,0.000,
0.412,0.193,1.516,1.165,0.045,-0.063,-0.050,-0.045,0.021,0.058,0.000,
0.414,0.204,1.599,1.177,0.045,-0.060,-0.048,-0.057,0.028,0.030,0.000,
0.416,0.249,1.752,1.160,0.046,-0.057,-0.045,-0.060,0.041,0.004,0.000,
0.418,0.274,1.825,1.144,0.046,-0.053,-0.043,-0.057,0.051,-0.003,0.000,
0.420,0.297,1.899,1.120,0.047,-0.050,-0.041,-0.047,0.057,0.000,0.000,
0.422,0.333,2.047,1.080,0.047,-0.046,-0.038,-0.030,0.058,0.002,0.000,
0.424,0.350,2.130,1.081,0.048,-0.042,-0.036,-0.015,0.053,0.003,0.000,
0.426,0.372,2.327,1.109,0.049,-0.038,-0.034,-0.005,0.049,0.011,0.000,
0.428,0.368,2.445,1.128,0.049,-0.033,-0.032,0.001,0.050,0.025,0.000,
0.430,0.326,2.666,1.128,0.050,-0.028,-0.030,0.001,0.043,0.031,0.000,
0.432,0.280,2.743,1.096,0.051,-0.023,-0.027,0.001,0.028,0.033,0.000,
0.434,0.143,2.832,1.008,0.051,-0.017,-0.025,-0.002,0.009,0.038,0.000,
0.436,0.044,2.836,0.974,0.052,-0.012,-0.023,-0.014,-0.015,0.042,0.000,
0.438,-0.157,2.777,0.910,0.052,-0.006,-0.021,-0.029,-0.033,0.033,1.000,
0.440,-0.216,2.722,0.851,0.051,-0.000,-0.019,-0.039,-0.049,0.022,0.000,
0.442,-0.239,2.650,0.770,0.051,0.005,-0.018,-0.043,-0.067,0.020,0.000,
0.444,-0.204,2.446,0.594,0.051,0.010,-0.016,-0.045,-0.088,0.026,0.000,
0.446,-0.110,2.155,0.398,0.050,0.015,-0.015,-0.041,-0.103,0.041,2.000,
0.448,-0.058,1.975,0.273,0.050,0.020,-0.014,-0.030,-0.108,0.064,0.000,
0.450,-0.008,1.783,0.143,0.050,0.024,-0.014,-0.028,-0.108,0.085,0.000,
0.452,0.069,1.419,-0.074,0.050,0.027,-0.013,-0.030,-0.105,0.104,0.000,
0.454,0.094,1.257,-0.164,0.050,0.030,-0.013,-0.028,-0.101,0.114,0.000,
0.456,0.132,1.002,-0.314,0.050,0.032,-0.014,-0.016,-0.097,0.114,0.000,
0.458,0.139,0.910,-0.382,0.050,0.034,-0.014,0.002,-0.090,0.106,0.000,
0.460,0.105,0.739,-0.549,0.051,0.036,-0.015,0.020,-0.075,0.104,0.000,
0.462,0.074,0.670,-0.652,0.051,0.038,-0.016,0.034,-0.061,0.106,0.000,
0.464,0.015,0.611,-0.834,0.051,0.039,-0.018,0.049,-0.048,0.099,0.000,
0.466,-0.019,0.605,-0.901,0.051,0.040,-0.019,0.067,-0.037,0.086,0.000,
0.468,-0.101,0.580,-0.995,0.051,0.041,-0.021,0.085,-0.031,0.080,0.000,
0.470,-0.153,0.539,-1.034,0.051,0.043,-0.023,0.096,-0.031,0.074,0.000,
0.472,-0.216,0.467,-1.074,0.050,0.044,-0.025,0.102,-0.036,0.059,0.000,
0.474,-0.371,0.198,-1.157,0.050,0.045,-0.027,0.102,-0.040,0.046,0.000,
0.476,-0.442,0.008,-1.199,0.049,0.045,-0.030,0.094,-0.041,0.039,0.000,
0.478,-0.507,-0.460,-1.305,0.048,0.045,-0.032,0.080,-0.053,0.028,0.000,
0.480,-0.492,-0.730,-1.371,0.047,0.044,-0.035,0.061,-0.064,0.023,0.000,
0.482,-0.393,-1.285,-1.517,0.046,0.043,-0.037,0.044,-0.074,0.025,0.000,
0.484,-0.326,-1.567,-1.587,0.046,0.040,-0.040,0.044,-0.073,0.022,0.000,
0.486,-0.199,-2.117,-1.717,0.045,0.037,-0.043,0.057,-0.061,0.010,0.000,
0.488,-0.153,-2.368,-1.778,0.045,0.033,-0.047,0.067,-0.049,0.005,0.000,
0.490,-0.129,-2.596,-1.827,0.044,0.028,-0.050,0.074,-0.047,0.013,0.000,
0.492,-0.157,-2.948,-1.847,0.044,0.023,-0.054,0.082,-0.047,0.020,0.000,
0.494,-0.207,-3.072,-1.813,0.044,0.017,-0.058,0.089,-0.039,0.025,0.000,
0.496,-0.347,-3.237,-1.693,0.043,0.011,-0.061,0.093,-0.027,0.030,0.000,
0.498,-0.413,-3.280,-1.620,0.043,0.004,-0.065,0.097,-0.019,0.034,0.000,
0.500,-0.529,-3.273,-1.455,0.042,-0.002,-0.068,0.094,-0.016,0.028,0.000,
0.502,-0.576,-3.233,-1.363,0.041,-0.009,-0.071,0.089,-0.016,0.025,0.000,
0.504,-0.652,-3.097,-1.132,0.040,-0.015,-0.074,0.081,-0.019,0.034,0.000,
0.506,-0.682,-3.006,-0.989,0.038,-0.021,-0.076,0.077,-0.017,0.043,0.000,
0.508,-0.749,-2.771,-0.709,0.037,-0.027,-0.078,0.074,-0.006,0.047,0.000,
0.510,-0.787,-2.620,-0.588,0.035,-0.033,-0.079,0.069,0.008,0.042,0.000,
0.512,-0.864,-2.225,-0.378,0.034,-0.038,-0.081,0.065,0.024,0.032,0.000,
0.514,-0.908,-1.983,-0.276,0.032,-0.043,-0.081,0.064,0.039,0.023,0.000,
0.516,-0.950,-1.725,-0.182,0.030,-0.047,-0.082,0.064,0.049,0.009,4.000,
0.518,-0.983,-1.170,-0.036,0.028,-0.050,-0.082,0.063,0.056,-0.003,8.000,
0.520,-0.972,-0.585,0.055,0.026,-0.052,-0.082,0.063,0.057,-0.007,0.000,
0.522,-0.952,-0.293,0.076,0.024,-0.054,-0.082,0.053,0.059,-0.001,0.000,
0.524,-0.910,-0.003,0.083,0.023,-0.054,-0.082,0.027,0.062,0.006,0.000,
0.526,-0.756,0.566,0.113,0.021,-0.054,-0.082,-0.006,0.060,0.007,0.000,
